1	1	500	1000
2	1	1000	2000
3	1	2000	4000
4	1	4000	8000
5	1	5000	10000
6	1	15000	45000
7	1	50000	80000
8	1	100000	120000
9	1	200000	160000
10	1	500000	240000
11	1	1000000	480000
12	1	2000000	1200000
13	1	5000000	2800000
14	1	10000000	6000000
15	1	20000000	16000000
16	1	50000000	30000000
17	2	1	3000
18	2	5	10000
19	2	10	15000
20	2	20	20000
21	2	30	200000
22	2	40	400000
23	2	50	800000
24	2	100	1500000
25	3	1	15000
26	3	5	20000
27	3	10	60000
28	3	20	100000
29	3	30	150000
30	3	40	200000
31	3	50	250000
32	3	100	500000
33	4	1	20000
34	4	2	50000
35	4	3	150000
36	4	4	500000
37	4	5	1250000
38	4	6	1500000
39	4	7	1750000
40	4	8	2000000
41	4	9	2250000
42	4	10	2500000
43	5	100	60000
44	5	200	80000
45	5	500	100000
46	5	1000	1800000
47	5	2000	3000000
48	5	5000	6000000
49	5	10000	18000000
