00:00:37	 Tµi kho∂n: asdasd	 Nh©n vÀt: Nguy™nŸMinh	 DWORD ID: -551398027	 C p: 128	 IP: 14.252.53.147 : 54953	 Xu: 505	 TÊng ti“n vπn: 74842
00:01:11	 Tµi kho∂n: cayxu1	 Nh©n vÀt: Cayxu01	 DWORD ID: -1764924356	 C p: 1	 IP: 1.53.84.204 : 52811	 Xu: 0	 TÊng ti“n vπn: 0
00:01:48	 Tµi kho∂n: leanhdung3001	 Nh©n vÀt: TYŸTh«nŸS m	 DWORD ID: 1824174941	 C p: 132	 IP: 222.252.237.81 : 55272	 Xu: 11	 TÊng ti“n vπn: 22749
00:06:36	 Tµi kho∂n: hungle	 Nh©n vÀt: Online	 DWORD ID: -211897970	 C p: 120	 IP: 171.235.44.3 : 50694	 Xu: 5	 TÊng ti“n vπn: 141386
00:06:51	 Tµi kho∂n: hungle1	 Nh©n vÀt: DaTau1	 DWORD ID: -1052377760	 C p: 120	 IP: 171.235.44.3 : 50697	 Xu: 0	 TÊng ti“n vπn: 241000
00:07:48	 Tµi kho∂n: thanhtin	 Nh©n vÀt: MoonNg∏o	 DWORD ID: 26218531	 C p: 131	 IP: 171.252.155.13 : 60498	 Xu: 60	 TÊng ti“n vπn: 0
00:08:16	 Tµi kho∂n: cayxu2	 Nh©n vÀt: Cayxu02	 DWORD ID: -1764923467	 C p: 1	 IP: 1.53.84.204 : 64980	 Xu: 0	 TÊng ti“n vπn: 0
00:13:29	 Tµi kho∂n: hoangpo005	 Nh©n vÀt: B„MeChiii	 DWORD ID: 657308429	 C p: 120	 IP: 113.185.72.22 : 63961	 Xu: 10	 TÊng ti“n vπn: 392200
00:25:11	 Tµi kho∂n: 931994	 Nh©n vÀt: Caytien01	 DWORD ID: 518203458	 C p: 127	 IP: 1.53.84.204 : 62204	 Xu: 8	 TÊng ti“n vπn: 8798
00:26:29	 Tµi kho∂n: conghung1	 Nh©n vÀt: DMChien	 DWORD ID: 1381355700	 C p: 120	 IP: 171.235.44.3 : 50715	 Xu: 30	 TÊng ti“n vπn: 0
00:27:10	 Tµi kho∂n: cayxu1	 Nh©n vÀt: Cayxu01	 DWORD ID: -1764924356	 C p: 125	 IP: 1.53.84.204 : 62210	 Xu: 10	 TÊng ti“n vπn: 201000
00:27:20	 Tµi kho∂n: 931995	 Nh©n vÀt: Caytien02	 DWORD ID: 518204377	 C p: 128	 IP: 1.53.84.204 : 62212	 Xu: 0	 TÊng ti“n vπn: 0
00:33:32	 Tµi kho∂n: leanhdung3001	 Nh©n vÀt: TYŸTh«nŸS m	 DWORD ID: 1824174941	 C p: 132	 IP: 222.252.237.81 : 55301	 Xu: 31	 TÊng ti“n vπn: 4566
00:33:33	 Tµi kho∂n: trungtruc	 Nh©n vÀt: Th«nŸS–t	 DWORD ID: 1654724532	 C p: 135	 IP: 115.77.33.190 : 60855	 Xu: 525	 TÊng ti“n vπn: 113927
00:33:59	 Tµi kho∂n: truongtien1991	 Nh©n vÀt: ForeverAlone@	 DWORD ID: 611820740	 C p: 131	 IP: 171.252.153.103 : 30721	 Xu: 690	 TÊng ti“n vπn: 166065
00:33:59	 Tµi kho∂n: conghung	 Nh©n vÀt: Microsoft	 DWORD ID: -1138801829	 C p: 125	 IP: 171.235.44.3 : 50722	 Xu: 1765	 TÊng ti“n vπn: 28205
00:35:12	 Tµi kho∂n: trungtruc4	 Nh©n vÀt: Th«nŸßÈc	 DWORD ID: 1658272659	 C p: 126	 IP: 222.252.237.81 : 55305	 Xu: 20	 TÊng ti“n vπn: 102971
