00:00:47	 Tµi kho∂n: 931994	 Nh©n vÀt: Caytien01	 DWORD ID: 518203458	 C p: 131	 IP: 1.53.84.204 : 60422	 Xu: 0	 TÊng ti“n vπn: 0
00:02:03	 Tµi kho∂n: zukim123	 Nh©n vÀt: ZuKim77	 DWORD ID: -2058045821	 C p: 125	 IP: 222.253.25.202 : 54050	 Xu: 374	 TÊng ti“n vπn: 15576
00:07:46	 Tµi kho∂n: leanhdung3003	 Nh©n vÀt: LeoNesa	 DWORD ID: -1541172349	 C p: 130	 IP: 14.171.140.78 : 58745	 Xu: 66	 TÊng ti“n vπn: 101197
00:09:23	 Tµi kho∂n: trungtruc3	 Nh©n vÀt: Si™uŸChuËi	 DWORD ID: 33899527	 C p: 125	 IP: 14.171.140.78 : 58748	 Xu: 10	 TÊng ti“n vπn: 0
00:09:56	 Tµi kho∂n: leanhdung3003	 Nh©n vÀt: LeoNesa	 DWORD ID: -1541172349	 C p: 130	 IP: 14.171.140.78 : 58750	 Xu: 66	 TÊng ti“n vπn: 101197
00:12:04	 Tµi kho∂n: khuong88	 Nh©n vÀt: Luyenthuytinh	 DWORD ID: -548655180	 C p: 125	 IP: 113.188.199.59 : 49545	 Xu: 0	 TÊng ti“n vπn: 28588
00:12:46	 Tµi kho∂n: mylovelyok005	 Nh©n vÀt: DMdao9	 DWORD ID: -987424614	 C p: 125	 IP: 171.247.165.218 : 50078	 Xu: 60	 TÊng ti“n vπn: 20980
00:21:02	 Tµi kho∂n: khuong88	 Nh©n vÀt: D0217ta	 DWORD ID: -502328096	 C p: 125	 IP: 113.188.199.59 : 49553	 Xu: 5	 TÊng ti“n vπn: 22981
00:30:06	 Tµi kho∂n: danhtran17	 Nh©n vÀt: rrrrrrr	 DWORD ID: -1473033835	 C p: 1	 IP: 116.98.87.179 : 50771	 Xu: 0	 TÊng ti“n vπn: 0
00:31:22	 Tµi kho∂n: leanhdung3001	 Nh©n vÀt: TYŸTh«nŸS m	 DWORD ID: 1824174941	 C p: 138	 IP: 14.171.140.78 : 58772	 Xu: 69	 TÊng ti“n vπn: 46661
00:31:32	 Tµi kho∂n: zukim123	 Nh©n vÀt: ZuKim77	 DWORD ID: -2058045821	 C p: 125	 IP: 222.253.25.202 : 58130	 Xu: 384	 TÊng ti“n vπn: 277579
