00:00:06	 Tµi kho∂n: khuongtt1	 Nh©n vÀt: SANTT1	 DWORD ID: -60197028	 C p: 125	 IP: 113.188.199.59 : 53729	 Xu: 0	 TÊng ti“n vπn: 1000
00:00:33	 Tµi kho∂n: samkul3	 Nh©n vÀt: WTFMEN	 DWORD ID: -486641707	 C p: 127	 IP: 115.76.54.208 : 25733	 Xu: 5	 TÊng ti“n vπn: 304418
00:00:38	 Tµi kho∂n: khuong55	 Nh©n vÀt: KimŸTiŸTi	 DWORD ID: -1240449565	 C p: 120	 IP: 113.188.199.59 : 53731	 Xu: 24	 TÊng ti“n vπn: 0
00:04:53	 Tµi kho∂n: 8134613	 Nh©n vÀt: zzzzzz	 DWORD ID: 256162005	 C p: 121	 IP: 1.53.84.204 : 60468	 Xu: 7	 TÊng ti“n vπn: 102603
00:05:18	 Tµi kho∂n: cayxu1	 Nh©n vÀt: Cayxu01	 DWORD ID: -1764924356	 C p: 125	 IP: 1.53.84.204 : 60470	 Xu: 0	 TÊng ti“n vπn: 151912
00:07:07	 Tµi kho∂n: khuong55	 Nh©n vÀt: KimŸTiŸTi	 DWORD ID: -1240449565	 C p: 120	 IP: 113.188.199.59 : 53734	 Xu: 24	 TÊng ti“n vπn: 0
00:08:44	 Tµi kho∂n: cayxu2	 Nh©n vÀt: Cayxu02	 DWORD ID: -1764923467	 C p: 125	 IP: 1.53.84.204 : 60480	 Xu: 1	 TÊng ti“n vπn: 315410
00:09:06	 Tµi kho∂n: 931995	 Nh©n vÀt: Caytien02	 DWORD ID: 518204377	 C p: 131	 IP: 1.53.84.204 : 60482	 Xu: 23	 TÊng ti“n vπn: 0
00:09:41	 Tµi kho∂n: trungtruc4	 Nh©n vÀt: Th«nŸßÈc	 DWORD ID: 1658272659	 C p: 127	 IP: 14.255.54.22 : 57219	 Xu: 62	 TÊng ti“n vπn: 40000
00:11:22	 Tµi kho∂n: cayxu1	 Nh©n vÀt: Cayxu01	 DWORD ID: -1764924356	 C p: 125	 IP: 1.53.84.204 : 60493	 Xu: 0	 TÊng ti“n vπn: 943496
00:19:25	 Tµi kho∂n: khuong55	 Nh©n vÀt: TŸhŸoŸr	 DWORD ID: -852156252	 C p: 128	 IP: 113.188.199.59 : 53754	 Xu: 29	 TÊng ti“n vπn: 82419
